Net Status Report
Filename     : C:\Users\eliow\OneDrive\Dokumente\GitHub\CHESS_OBC\CHESSOBC_rev1\CHESSOBC_rev1.PcbDoc
Date         : 15/07/2021
Time         : 19:44:41
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetSRAM1_D3, Signal Layers Only, 6.4611mm
    NetSRAM1_D4, Signal Layers Only, 7.2823mm
    NetSRAM1_D5, Signal Layers Only, 5.5944mm
    NetSRAM1_E2, Signal Layers Only, 5.4945mm
    NetSRAM1_E3, Signal Layers Only, 6.4738mm
    NetSRAM1_E4, Signal Layers Only, 7.2912mm
    NetSRAM1_E5, Signal Layers Only, 5.5878mm
    NetSRAM1_F1, Signal Layers Only, 4.5847mm
    NetSRAM1_F2, Signal Layers Only, 4.002mm
    NetSRAM1_F3, Signal Layers Only, 6.4629mm
    NetSRAM1_F4, Signal Layers Only, 7.3001mm
    NetSRAM1_F5, Signal Layers Only, 5.5554mm
    NetSRAM1_F6, Signal Layers Only, 4.6893mm
    NetSRAM1_G1, Signal Layers Only, 4.5847mm
    NetSRAM1_G2, Signal Layers Only, 5.4942mm
    NetSRAM1_G3, Signal Layers Only, 6.2295mm
    NetSRAM1_G4, Signal Layers Only, 4.3206mm
    NetSRAM1_G5, Signal Layers Only, 5.5929mm
    NetSRAM1_G6, Signal Layers Only, 3.202mm
    NetSRAM1_H1, Signal Layers Only, 4.5847mm
    NetSRAM1_H2, Signal Layers Only, 3.4153mm
    NetSRAM1_H3, Signal Layers Only, 3.4154mm
    NetSRAM1_H4, Signal Layers Only, 3.4154mm
    NetSRAM1_H5, Signal Layers Only, 3.4154mm
    NetSRAM1_H6, Signal Layers Only, 4.6893mm
    NetU1_L5, Signal Layers Only, 1.4872mm
    VPLL, Signal Layers Only, 11.82mm
count : 230
